"iso3","Year","GPI"
"HRV",2011,1.629
"HRV",2012,1.611
"HRV",2013,1.591
"HRV",2014,1.54499999999999
"HRV",2015,1.55699999999999
"HRV",2016,1.55699999999999
"HRV",2017,1.568
"HRV",2018,1.556
"HRV",2019,1.54899999999999
"HRV",2020,1.52899999999999
"HRV",2021,1.452
"HRV",2022,1.44
"CUB",2008,2.023
"CUB",2009,2.01699999999999
"CUB",2010,2.016
"CUB",2011,1.99
"CUB",2012,2.032
"CUB",2013,2.01799999999999
"CUB",2014,1.987
"CUB",2015,1.993
"CUB",2016,1.975
"CUB",2017,1.978
"CUB",2018,1.961
"CUB",2019,1.988
"CUB",2020,2.01699999999999
"CUB",2021,2.02
"CUB",2022,2.083
"CYP",2008,1.712
"CYP",2009,1.72
"CYP",2010,1.90599999999999
"CYP",2011,1.895
"CYP",2012,1.923
"CYP",2013,1.873
"CYP",2014,1.93
"CYP",2015,1.89
"CYP",2016,1.9
"CYP",2017,1.901
"CYP",2018,1.848
"CYP",2019,1.88
"CYP",2020,1.877
"CYP",2021,1.91399999999999
"CYP",2022,1.903
"CZE",2008,1.461
"CZE",2009,1.445
"CZE",2010,1.41599999999999
"CZE",2011,1.37799999999999
"CZE",2012,1.431
"CZE",2013,1.421
"CZE",2014,1.38
"CZE",2015,1.39199999999999
"CZE",2016,1.335
"CZE",2017,1.32
"CZE",2018,1.337
"CZE",2019,1.335
"CZE",2020,1.341
"CZE",2021,1.331
"CZE",2022,1.318
"COD",2008,2.825
"COD",2009,2.85199999999999
"COD",2010,2.87599999999999
"COD",2011,2.88399999999999
"COD",2012,2.934
"COD",2013,2.862
"COD",2014,3.00499999999999
"COD",2015,3.068
"COD",2016,3.00099999999999
"COD",2017,2.963
"COD",2018,3.109
"COD",2019,3.111
"COD",2020,3.109
"COD",2021,3.161
"COD",2022,3.16599999999999
"DNK",2008,1.286
"DNK",2009,1.28499999999999
"DNK",2010,1.352
"DNK",2011,1.304
"DNK",2012,1.258
"DNK",2013,1.219
"DNK",2014,1.198
"DNK",2015,1.219
"DNK",2016,1.209
"DNK",2017,1.31
"DNK",2018,1.302
"DNK",2019,1.288
"DNK",2020,1.306
"DNK",2021,1.29299999999999
"DNK",2022,1.296
"DJI",2008,1.966
"DJI",2009,1.954
"DJI",2010,2.00899999999999
"DJI",2011,2.1
"DJI",2012,1.917
"DJI",2013,1.968
"DJI",2014,1.94199999999999
"DJI",2015,2.08199999999999
"DJI",2016,2.153
"DJI",2017,2.111
"DJI",2018,2.172
"DJI",2019,2.103
"DJI",2020,2.145
"DJI",2021,2.099
"DJI",2022,2.213
"DOM",2008,1.989
"DOM",2009,1.999
"DOM",2010,2.075
"DOM",2011,2.093
"DOM",2012,2.04499999999999
"DOM",2013,2.051
"DOM",2014,2.035
"DOM",2015,2.039
"DOM",2016,2.035
"DOM",2017,2.027
"DOM",2018,2.04099999999999
"DOM",2019,2.019
"DOM",2020,1.96
"DOM",2021,1.97
"DOM",2022,1.99
"ECU",2008,2.15899999999999
"ECU",2009,2.189
"ECU",2010,2.189
"ECU",2011,2.13799999999999
"ECU",2012,2.044
"ECU",2013,2.02099999999999
"ECU",2014,1.992
"ECU",2015,1.967
"ECU",2016,1.958
"ECU",2017,1.846
"ECU",2018,1.90799999999999
"ECU",2019,1.95
"ECU",2020,2.04099999999999
"ECU",2021,2.023
"ECU",2022,1.988
"EGY",2008,2.04099999999999
"EGY",2009,1.93
"EGY",2010,1.94199999999999
"EGY",2011,2.20299999999999
"EGY",2012,2.302
"EGY",2013,2.382
"EGY",2014,2.52899999999999
"EGY",2015,2.4
"EGY",2016,2.41199999999999
"EGY",2017,2.419
"EGY",2018,2.479
"EGY",2019,2.398
"EGY",2020,2.45
"EGY",2021,2.487
"EGY",2022,2.342
"SLV",2008,2.016
"SLV",2009,2.1
"SLV",2010,2.12699999999999
"SLV",2011,2.161
"SLV",2012,2.197
"SLV",2013,2.129
"SLV",2014,2.081
"SLV",2015,2.17399999999999
"SLV",2016,2.141
"SLV",2017,2.173
"SLV",2018,2.197
"SLV",2019,2.19099999999999
"SLV",2020,2.177
"SLV",2021,2.18
"SLV",2022,2.23099999999999
"GNQ",2008,1.88399999999999
"GNQ",2009,1.808
"GNQ",2010,1.844
"GNQ",2011,1.925
"GNQ",2012,1.88199999999999
"GNQ",2013,1.823
"GNQ",2014,1.846
"GNQ",2015,1.812
"GNQ",2016,1.778
"GNQ",2017,1.79299999999999
"GNQ",2018,1.83
"GNQ",2019,1.843
"GNQ",2020,1.77499999999999
"GNQ",2021,1.835
"GNQ",2022,1.863
"ERI",2008,2.475
"ERI",2009,2.462
"ERI",2010,2.447
"ERI",2011,2.426
"ERI",2012,2.40499999999999
"ERI",2013,2.365
"ERI",2014,2.37199999999999
"ERI",2015,2.369
"ERI",2016,2.40799999999999
"ERI",2017,2.464
"ERI",2018,2.592
"ERI",2019,2.55799999999999
"ERI",2020,2.567
"ERI",2021,2.551
"ERI",2022,2.494
"EST",2008,1.689
"EST",2009,1.723
"EST",2010,1.729
"EST",2011,1.701
"EST",2012,1.679
"EST",2013,1.65799999999999
"EST",2014,1.55299999999999
"EST",2015,1.619
"EST",2016,1.598
"EST",2017,1.588
"EST",2018,1.598
"EST",2019,1.582
"EST",2020,1.577
"EST",2021,1.56299999999999
"EST",2022,1.66199999999999
"SWZ",2008,1.939
"SWZ",2009,1.92399999999999
"SWZ",2010,1.92599999999999
"SWZ",2011,2.035
"SWZ",2012,2.00599999999999
"SWZ",2013,2.02199999999999
"SWZ",2014,2.055
"SWZ",2015,2.05699999999999
"SWZ",2016,2.01299999999999
"SWZ",2017,1.948
"SWZ",2018,1.971
"SWZ",2019,1.917
"SWZ",2020,1.929
"SWZ",2021,1.893
"SWZ",2022,2.03299999999999
"ETH",2008,2.40899999999999
"ETH",2009,2.65
"ETH",2010,2.41299999999999
"ETH",2011,2.43199999999999
"ETH",2012,2.587
"ETH",2013,2.483
"ETH",2014,2.378
"ETH",2015,2.29999999999999
"ETH",2016,2.285
"ETH",2017,2.402
"ETH",2018,2.468
"ETH",2019,2.46899999999999
"ETH",2020,2.507
"ETH",2021,2.62699999999999
"ETH",2022,2.806
"FIN",2008,1.369
"FIN",2009,1.371
"FIN",2010,1.369
"FIN",2011,1.37
"FIN",2012,1.336
"FIN",2013,1.331
"FIN",2014,1.324
"FIN",2015,1.331
"FIN",2016,1.348
"FIN",2017,1.435
"FIN",2018,1.44
"FIN",2019,1.40599999999999
"FIN",2020,1.365
"FIN",2021,1.40599999999999
"FIN",2022,1.439
"FRA",2008,1.76
"FRA",2009,1.78699999999999
"FRA",2010,1.794
"FRA",2011,1.77099999999999
"FRA",2012,1.802
"FRA",2013,1.77299999999999
"FRA",2014,1.712
"FRA",2015,1.703
"FRA",2016,1.744
"FRA",2017,1.871
"FRA",2018,1.899
"FRA",2019,1.861
"FRA",2020,1.91599999999999
"FRA",2021,1.93
"FRA",2022,1.895
"GAB",2008,1.958
"GAB",2009,1.962
"GAB",2010,2.04199999999999
"GAB",2011,2.048
"GAB",2012,2.02599999999999
"GAB",2013,1.988
"GAB",2014,1.931
"GAB",2015,1.976
"GAB",2016,1.986
"GAB",2017,2.007
"GAB",2018,2.052
"GAB",2019,2.069
"GAB",2020,2.096
"GAB",2021,1.998
"GAB",2022,1.973
"GEO",2008,2.65499999999999
"GEO",2009,2.688
"GEO",2010,2.971
"GEO",2011,2.577
"GEO",2012,2.49699999999999
"GEO",2013,2.4
"GEO",2014,2.133
"GEO",2015,2.00499999999999
"GEO",2016,1.992
"GEO",2017,1.994
"GEO",2018,1.986
"GEO",2019,1.992
"GEO",2020,1.982
"GEO",2021,2.016
"GEO",2022,2.06499999999999
"DEU",2008,1.564
"DEU",2009,1.589
"DEU",2010,1.61
"DEU",2011,1.61
"DEU",2012,1.595
"DEU",2013,1.518
"DEU",2014,1.451
"DEU",2015,1.43
"DEU",2016,1.43599999999999
"DEU",2017,1.465
"DEU",2018,1.50899999999999
"DEU",2019,1.534
"DEU",2020,1.51299999999999
"DEU",2021,1.494
"DEU",2022,1.462
"GHA",2008,1.718
"GHA",2009,1.76699999999999
"GHA",2010,1.832
"GHA",2011,1.80499999999999
"GHA",2012,1.75
"GHA",2013,1.75699999999999
"GHA",2014,1.745
"GHA",2015,1.707
"GHA",2016,1.728
"GHA",2017,1.76
"GHA",2018,1.747
"GHA",2019,1.743
"GHA",2020,1.796
"GHA",2021,1.75899999999999
"GHA",2022,1.75899999999999
"GRC",2008,1.957
"GRC",2009,1.948
"GRC",2010,1.991
"GRC",2011,1.985
"GRC",2012,2.02599999999999
"GRC",2013,2.02599999999999
"GRC",2014,2.01699999999999
"GRC",2015,1.9
"GRC",2016,1.91
"GRC",2017,1.911
"GRC",2018,1.93
"GRC",2019,1.903
"GRC",2020,1.856
"GRC",2021,1.917
"GRC",2022,1.838
"GTM",2008,2.176
"GTM",2009,2.099
"GTM",2010,2.15
"GTM",2011,2.253
"GTM",2012,2.20699999999999
"GTM",2013,2.196
"GTM",2014,2.14199999999999
"GTM",2015,2.08
"GTM",2016,2.15499999999999
"GTM",2017,2.20699999999999
"GTM",2018,2.181
"GTM",2019,2.206
"GTM",2020,2.17099999999999
"GTM",2021,2.16299999999999
"GTM",2022,2.13899999999999
"GIN",2008,2.244
"GIN",2009,2.261
"GIN",2010,2.326
"GIN",2011,2.31
"GIN",2012,2.17399999999999
"GIN",2013,2.184
"GIN",2014,2.212
"GIN",2015,2.196
"GIN",2016,2.16599999999999
"GIN",2017,2.056
"GIN",2018,2.072
"GIN",2019,2.02599999999999
"GIN",2020,2.032
"GIN",2021,2.052
"GIN",2022,2.33199999999999
"GNB",2008,2.34799999999999
"GNB",2009,2.342
"GNB",2010,2.334
"GNB",2011,2.29999999999999
"GNB",2012,2.318
"GNB",2013,2.269
"GNB",2014,2.399
"GNB",2015,2.136
"GNB",2016,2.13499999999999
"GNB",2017,2.177
"GNB",2018,2.17799999999999
"GNB",2019,2.11
"GNB",2020,2.084
"GNB",2021,2.076
"GNB",2022,2.156
"GUY",2008,2.03799999999999
"GUY",2009,2.048
"GUY",2010,2.14699999999999
"GUY",2011,2.12199999999999
"GUY",2012,1.962
"GUY",2013,1.972
"GUY",2014,1.988
"GUY",2015,2.03299999999999
"GUY",2016,2.06
"GUY",2017,1.985
"GUY",2018,2.035
"GUY",2019,2.088
"GUY",2020,2.063
